[19Jul2025 00:00:33.461] [Server thread/INFO] [Easy NPC/]: Opening menu aa65f215-8817-471d-bc9c-2998bf0731ab for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.77, y=64.00, z=18.31] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[19Jul2025 00:00:34.488] [Server thread/INFO] [Easy NPC/]: Opening menu 643a5616-fc89-43bb-a62e-3bac809954c8 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.77, y=64.00, z=18.31] with BasicTradingConfigurationMenu[translation{key='text.easy_npc.config.basic_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:01:24.888] [Server thread/INFO] [Easy NPC/]: Opening menu 53a6b5a3-b279-4ec7-af67-d5d1bb32b2c4 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.77, y=64.00, z=18.31] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[19Jul2025 00:01:25.936] [Server thread/INFO] [Easy NPC/]: Opening menu eb5b0786-8a42-4828-be3f-9be569f6d63b for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.77, y=64.00, z=18.31] with BasicTradingConfigurationMenu[translation{key='text.easy_npc.config.basic_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:05:18.486] [Server thread/INFO] [Easy NPC/]: Opening menu 7f96c085-a237-4fe2-81c0-1eede897edd6 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[19Jul2025 00:05:19.735] [Server thread/INFO] [Easy NPC/]: Opening menu de3ac6b7-0ac7-4a28-abd9-35fc2e08f739 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with BasicTradingConfigurationMenu[translation{key='text.easy_npc.config.basic_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:12:56.165] [Server thread/INFO] [Easy NPC/]: Opening menu 9b1adf31-f05b-42e9-aba0-93c183b53fc1 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[19Jul2025 00:12:57.337] [Server thread/INFO] [Easy NPC/]: Opening menu ff188979-78eb-49d9-995f-c3348d0fb2df for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with BasicTradingConfigurationMenu[translation{key='text.easy_npc.config.basic_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:13:00.227] [Server thread/INFO] [Easy NPC/]: Opening menu f35a902f-4368-4330-86ad-92b4dfd03f8f for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:13:01.390] [Server thread/INFO] [Easy NPC/]: Opening menu 9587ed10-00bd-4945-ac38-8012d17031f7 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:13:02.308] [Server thread/INFO] [Easy NPC/]: Opening menu 569e781d-5fe8-446b-94d7-a414aa658eb7 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:13:17.508] [Server thread/INFO] [Easy NPC/]: Opening menu 77f7b328-227f-4fdc-a539-0618d8948340 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:13:31.036] [Server thread/INFO] [Easy NPC/]: Opening menu 720b1cc4-4493-40c5-9eca-6423e2d48d50 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:13:31.485] [Server thread/INFO] [Easy NPC/]: Opening menu 9a98c1df-1fab-47cb-b014-f8da6bc32755 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:13:32.618] [Server thread/INFO] [Easy NPC/]: Opening menu 3748f5ed-99f1-4611-8500-bd48ddb36284 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:14:18.860] [Server thread/INFO] [Easy NPC/]: Opening menu b3c4b7a8-4c19-4ab7-9943-db062df138cc for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:14:45.030] [Server thread/INFO] [Easy NPC/]: Opening menu 3d633075-cbfe-4b51-b72e-f0565ddde3ac for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with BasicTradingConfigurationMenu[translation{key='text.easy_npc.config.basic_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:14:50.213] [Server thread/INFO] [Easy NPC/]: Opening menu 0ec4adee-b045-4d78-b853-58beea4d5f1b for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:14:51.744] [Server thread/INFO] [Easy NPC/]: Opening menu 74b3be3f-047d-422a-a103-a56f69bbb018 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:14:52.320] [Server thread/INFO] [Easy NPC/]: Opening menu f446a01b-3389-4d50-83a2-8a7d90d88e98 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
[19Jul2025 00:14:53.062] [Server thread/INFO] [Easy NPC/]: Opening menu 130dcdd2-7770-4015-91e7-db5e2c0d6419 for npc ed346162-917d-422a-82c4-8b4a41bbb479 and player ServerPlayer['ServerZero'/48035, l='ServerLevel[world]', x=-60.36, y=64.00, z=18.22] with AdvancedTradingConfigurationMenu[translation{key='text.easy_npc.config.advanced_trading.title', args=[entity.easy_npc.]}]
